p[0],p[1]
0.5076904296875,0.47216796875
0.3570556640625,0.635498046875
0.4873046875,0.5013427734375
0.4951171875,0.4664306640625
0.4912109375,0.508056640625
0.4041748046875,0.5762939453125
0.3865966796875,0.6082763671875
0.340576171875,0.6458740234375
0.475341796875,0.515380859375
0.403564453125,0.58349609375
0.3963623046875,0.5635986328125
0.362548828125,0.62255859375
0.3682861328125,0.632568359375
0.3858642578125,0.5963134765625
0.376220703125,0.6126708984375
0.4691162109375,0.5233154296875
0.37158203125,0.625732421875
0.5081787109375,0.4945068359375
0.490478515625,0.4637451171875
0.485595703125,0.46875
0.3992919921875,0.5938720703125
0.475830078125,0.4608154296875
0.4661865234375,0.5267333984375
0.532470703125,0.44482421875
0.446533203125,0.533935546875
0.360107421875,0.625244140625
0.5067138671875,0.4981689453125
0.4119873046875,0.564453125
0.3931884765625,0.5887451171875
0.547607421875,0.43359375
0.467529296875,0.506103515625
0.4991455078125,0.4954833984375
0.5277099609375,0.4727783203125
0.4755859375,0.4910888671875
0.3758544921875,0.61376953125
0.4393310546875,0.5174560546875
0.37451171875,0.6160888671875
0.369140625,0.6202392578125
0.378662109375,0.5982666015625
0.54541015625,0.4326171875
0.4722900390625,0.50244140625
0.344970703125,0.62451171875
0.5164794921875,0.482421875
0.3853759765625,0.6134033203125
0.3631591796875,0.6190185546875
0.37158203125,0.625
0.3577880859375,0.6317138671875
0.5006103515625,0.4962158203125
0.5294189453125,0.43701171875
0.3876953125,0.6280517578125
0.545166015625,0.445068359375
0.465087890625,0.5172119140625
0.3648681640625,0.62158203125
0.3836669921875,0.614013671875
0.350830078125,0.619384765625
0.471923828125,0.516845703125
0.5244140625,0.4620361328125
0.366943359375,0.6273193359375
0.3583984375,0.60888671875
0.5413818359375,0.4617919921875
0.3656005859375,0.628173828125
0.4796142578125,0.5245361328125
0.384765625,0.61083984375
0.4688720703125,0.5162353515625
0.3836669921875,0.608154296875
0.5103759765625,0.488037109375
0.3497314453125,0.6207275390625
0.3421630859375,0.5875244140625
0.474365234375,0.508056640625
0.381103515625,0.6209716796875
0.380126953125,0.597412109375
0.55322265625,0.418701171875
0.52783203125,0.4693603515625
0.3739013671875,0.614013671875
0.5013427734375,0.4989013671875
0.3824462890625,0.6085205078125
0.45703125,0.522705078125
0.3731689453125,0.6163330078125
0.3516845703125,0.6322021484375
0.528076171875,0.475341796875
0.40869140625,0.5814208984375
0.3717041015625,0.6112060546875
0.3717041015625,0.6309814453125
0.555419921875,0.42138671875
0.5067138671875,0.470947265625
0.56494140625,0.4375
0.3558349609375,0.630859375
0.348876953125,0.6005859375
0.46728515625,0.52490234375
0.350830078125,0.619384765625
0.4522705078125,0.5286865234375
0.3831787109375,0.5968017578125
0.4617919921875,0.53271484375
0.3892822265625,0.603759765625
0.5029296875,0.4755859375
0.4873046875,0.4991455078125
0.498779296875,0.480224609375
0.5111083984375,0.488037109375
0.3907470703125,0.62109375
0.3736572265625,0.6229248046875
